captured_at_utc,bookmaker,event_url,market_group,market_name,selection,line,decimal_odds,raw_payload,season,round,hash_key
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel17,,2.63,,2025,finals_w1,441f68e5843d2642bbd9cf0539a6844bb0468779382918545da0f1ddd42a795b
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel18,,0.32,,2025,finals_w1,bc4a64aca17a23f198ca81d5a959fd36742f3e78a046cbe7e8eb7ccc726f63b3
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel2,,1.15,,2025,finals_w1,20ab01a23644644b0dd74a3db0714210eb51ff58ee727ce2a6be2b67581dbd66
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel7,,0.23,,2025,regular,d6cde0f10e09153501e388890461679236486bd6c7b64c3d71649bc89957bd01
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel3,,0.23,,2025,regular,3dba39b40846c46f8d13690b4c0844bb5772a5bb3a564627f5e6af8418e7549e
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel12,,1.02,,2025,finals_w1,1890dbf4e93d919f3495af9399b90cf712a328399af4baa58c55b0cc0bcff16a
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel19,,0.25,,2025,finals_w1,8530044bba74168ab8e33e1feb7640aedcf53d45a6c0d992eaecfb47a3410a1e
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel20,,1.02,,2025,finals_w1,5bc3a0f8d0ab9aa48e0e7dc313f6f6714cf446a4e01a005132f9822c652c4a90
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel4,,0.95,,2025,finals_w1,89f6b0bdebfb0ffe8aa523f95c43e11e38965795f95416528f4098ed69d5c67d
2025-08-28T09:47:54+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/fremantle-v-gold-coast-suns-9554694,H2H_or_Unknown,Unparsed,Sel16,,0.32,,2025,regular,8b4100e59d81d18ab02500f8ce2770f8722ad0d349081e9b49d3e8e2409faa55
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel19,,2.63,,2025,finals_w1,709c9092175bde0eec7f9b24759ef09b349b96633fb620dc7c388943cd8f4039
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel11,,1.01,,2025,finals_w1,db62a24f735caac42295eb81b16a32af86edf9f27ec077ee41b532675ad33aff
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel5,,0.23,,2025,finals_w1,0accf22927cd07f04357698881a081336ea7ffbc617e80c9a3719cb860591a41
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel7,,0.95,,2025,finals_w1,1c84528c74176938a5ab67f90dc8f1005ad06c1f8cb6cb8a62ab2bd3f308b659
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel14,,1.39,,2025,finals_w1,5e723680e97871edef886dbb7706b1c5c226f8bcd4eb9f5f8bd318cd412aafa6
2025-08-28T09:47:58+00:00,sportsbet,https://www.sportsbet.com.au/betting/australian-rules/afl/geelong-cats-v-brisbane-lions-9551769,H2H_or_Unknown,Unparsed,Sel1,,0.15,,2025,finals_w1,cf944d46c60c36c0a7b8be15c680cbd6b3517f09cd6b35006debdec9beb8fdfb
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel3,,4.16,,2025,finals_w1,5a8f6e9f375205d07e1312bdd9bc4c52865f59955ba8ec551357d1b6f0566101
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel8,,0.95,,2025,finals_w1,9cf8cb214673a368b72adbb4c9bddeced4611b540f04c9ad06ac619aa20dba84
2025-08-28T09:45:49+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403224,H2H_or_Unknown,Unparsed,Sel13,,4.77,,2025,finals_w1,e4fed5a03799579a6b0b2a61ff176fe3a3a332109268da3c677ad3180779fbf5
2025-08-28T09:45:43+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406663,H2H_or_Unknown,Unparsed,Sel8,,0.95,,2025,finals_w1,e17bde4a9cce8a32cd13a23015e8c89378b2469955604717aff4a9edcc31790c
2025-08-28T09:45:46+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2403225,H2H_or_Unknown,Unparsed,Sel8,,0.95,,2025,finals_w1,10a252667b35d217199a7227b20ece900338cd2e33ad8a65a0080456f72c36e4
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel14,,1.39,,2025,finals_w1,ccf554c5f5ed9f595cd8eca2a23a69d40f6c0c356f6cba1b641eb6d92450f6ff
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel1,,3.47,,2025,finals_w1,26d8339fca19c8372cea7f88ce7ba9bdb8401cbdf92670b3247846f0c6d4b1cf
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel4,,0.95,,2025,finals_w1,ee65edc0d3d0d6bd84274fab74a4ee48962ae3f3b4e1ecdced72041565028d40
2025-08-28T09:45:40+00:00,pointsbet,https://pointsbet.com.au/sports/aussie-rules/AFL/2406664,H2H_or_Unknown,Unparsed,Sel20,,1.02,,2025,finals_w1,9480d426bb30a3be3bd72afce017e42a20500d8533ff7c0014d32ed48ce10b04
