season,round,venue_id,venue_norm_canon,venue,weather_time_utc,captured_at_utc,payload_json,temp_c,pressure_hpa,cloud_pct,rain_prob,wind_speed_ms,wind_gust_ms,tz,provider,lat,lon
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 02:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T02:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",14.7,1027.6,40.0,0.15,0.99,4.4,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 03:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T03:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",14.2,1027.7,32.0,0.15,0.22,2.6,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 04:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T04:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",13.8,1027.7,23.0,0.15,0.61,0.7,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 05:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T05:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",17.2,1020.0,71.0,0.17,2.12,6.7,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 06:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T06:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",16.4,1019.7,43.0,0.15,2.02,6.9,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 07:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T07:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",15.7,1019.4,16.0,0.13,2.01,6.7,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 08:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T08:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",15.4,1019.1,34.0,0.12,2.06,5.7,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 09:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T09:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",15.2,1018.9,51.0,0.11,2.28,4.3,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 10:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",15.0,1018.8,69.0,0.1,2.35,3.5,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 11:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T11:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",14.9,1019.0,79.0,0.1,2.34,3.9,Australia/Sydney,open-meteo,-33.84306,151.06778
