type,bookmaker,game_id,market_id,line,overround,team,player_name_std
overround_out_of_range,,,1.0,187.5,8.514035042764178,,
overround_out_of_range,,,1.0,188.5,7.455862387516047,,
overround_out_of_range,,,1.0,189.5,9.90777294851074,,
overround_out_of_range,,,1.0,190.5,5.317792807659478,,
overround_out_of_range,,,1.0,191.5,5.309269616165651,,
overround_out_of_range,,,1.0,192.5,5.298732258034852,,
overround_out_of_range,,,1.0,193.5,4.260234823944526,,
overround_out_of_range,,,1.0,194.5,2.135700527164693,,
overround_out_of_range,,,1.0,195.5,2.1260874367448253,,
overround_out_of_range,,,1.0,196.5,2.1283372473177695,,
overround_out_of_range,,,1.0,197.5,2.119609507640068,,
overround_out_of_range,,,1.0,199.5,2.0775845558458297,,
overround_out_of_range,,,1.0,209.5,0.896151436283015,,
overround_out_of_range,,,1.0,,9190.955871972868,,
missing_weather,,2025R24_G01,,,,,
unmapped_player,,,,,,Essendon,X Duursma
unmapped_player,,,,,,Essendon,L Lual
unmapped_player,,,,,,Essendon,J Gresham
unmapped_player,,,,,,Essendon,R Unwin
unmapped_player,,,,,,Essendon,K Gerreyn
unmapped_player,,,,,,Essendon,J Laverde
unmapped_player,,,,,,Essendon,S Durham
unmapped_player,,,,,,Essendon,D Shiel
unmapped_player,,,,,,Essendon,Z Merrett
unmapped_player,,,,,,Essendon,J Laverde
unmapped_player,,,,,,Essendon,S Durham
unmapped_player,,,,,,Essendon,B Hobbs
unmapped_player,,,,,,Essendon,A McGrath
unmapped_player,,,,,,Essendon,J Prior
unmapped_player,,,,,,Essendon,J Nguyen
unmapped_player,,,,,,Carlton,F Young
unmapped_player,,,,,,Carlton,T De Koning
unmapped_player,,,,,,Carlton,F Evans
unmapped_player,,,,,,Essendon,M Redman
unmapped_player,,,,,,Essendon,L Blakiston
unmapped_player,,,,,,Essendon,A Roberts
unmapped_player,,,,,,Carlton,Z Williams
unmapped_player,,,,,,Carlton,H McKay
unmapped_player,,,,,,Carlton,B Acres
unmapped_player,,,,,,Essendon,S E-Hawli
unmapped_player,,,,,,Essendon,Z Merrett
unmapped_player,,,,,,Essendon,A Clarke
unmapped_player,,,,,,Carlton,S Walsh
unmapped_player,,,,,,Carlton,P Cripps
unmapped_player,,,,,,Carlton,O Hollands
unmapped_player,,,,,,Essendon,M Guelfi
unmapped_player,,,,,,Essendon,P Wright
unmapped_player,,,,,,Essendon,J Menzie
unmapped_player,,,,,,Carlton,L Cowan
unmapped_player,,,,,,Carlton,L Young
unmapped_player,,,,,,Carlton,N Haynes
unmapped_player,,,,,,Essendon,K Langford
unmapped_player,,,,,,Essendon,L McMahon
unmapped_player,,,,,,Essendon,I Kako
unmapped_player,,,,,,Carlton,A Saad
unmapped_player,,,,,,Carlton,J Weitering
unmapped_player,,,,,,Carlton,M Carroll
unmapped_player,,,,,,Essendon,T Goldstein
unmapped_player,,,,,,Essendon,A Perkins
unmapped_player,,,,,,Essendon,D Shiel
unmapped_player,,,,,,Carlton,H O'Keeffe
unmapped_player,,,,,,Carlton,G Hewett
unmapped_player,,,,,,Carlton,C Durdin
unmapped_player,,,,,,Carlton,B Wilson
unmapped_player,,,,,,Carlton,J Motlop
unmapped_player,,,,,,Carlton,W White
unmapped_player,,,,,,Carlton,A Moir
unmapped_player,,,,,,Carlton,B Camporeale
unmapped_player,,,,,,Carlton,M Pittonet
unmapped_player,,,,,,Carlton,M McGovern
unmapped_player,,,,,,Carlton,W White
unmapped_player,,,,,,Carlton,L Fogarty
unmapped_player,,,,,,Carlton,C Lord
unmapped_player,,,,,,Collingwood,P Lipinski
unmapped_player,,,,,,Collingwood,D Houston
unmapped_player,,,,,,Collingwood,S Pendlebury
unmapped_player,,,,,,Collingwood,B Frampton
unmapped_player,,,,,,Collingwood,B Mihocek
unmapped_player,,,,,,Collingwood,W Parker
unmapped_player,,,,,,Collingwood,E Allan
unmapped_player,,,,,,Collingwood,M Cox
unmapped_player,,,,,,Collingwood,J Howe
unmapped_player,,,,,,Collingwood,R Steele
unmapped_player,,,,,,Collingwood,W Parker
unmapped_player,,,,,,Collingwood,E Allan
unmapped_player,,,,,,Collingwood,B Maynard
unmapped_player,,,,,,Collingwood,D Moore
unmapped_player,,,,,,Collingwood,J Howe
unmapped_player,,,,,,Melbourne,K Pickett
unmapped_player,,,,,,Melbourne,J Van Rooyen
unmapped_player,,,,,,Melbourne,T Sparrow
unmapped_player,,,,,,Collingwood,H Perryman
unmapped_player,,,,,,Collingwood,J Daicos
unmapped_player,,,,,,Collingwood,I Quaynor
unmapped_player,,,,,,Melbourne,J Culley
unmapped_player,,,,,,Melbourne,B Fritsch
unmapped_player,,,,,,Melbourne,K Chandler
unmapped_player,,,,,,Collingwood,S Sidebottom
unmapped_player,,,,,,Collingwood,J Crisp
unmapped_player,,,,,,Collingwood,R Steele
unmapped_player,,,,,,Melbourne,E Langdon
unmapped_player,,,,,,Melbourne,C Petracca
unmapped_player,,,,,,Melbourne,H Langford
unmapped_player,,,,,,Collingwood,J De Goey
unmapped_player,,,,,,Collingwood,T Membrey
unmapped_player,,,,,,Collingwood,L Schultz
unmapped_player,,,,,,Melbourne,J McVee
unmapped_player,,,,,,Melbourne,T McDonald
unmapped_player,,,,,,Melbourne,J Bowey
unmapped_player,,,,,,Collingwood,J Elliott
unmapped_player,,,,,,Collingwood,D McStay
unmapped_player,,,,,,Collingwood,B McCreery
unmapped_player,,,,,,Melbourne,D Turner
unmapped_player,,,,,,Melbourne,S May
unmapped_player,,,,,,Melbourne,C Salem
unmapped_player,,,,,,Collingwood,D Cameron
unmapped_player,,,,,,Collingwood,N Long
unmapped_player,,,,,,Collingwood,N Daicos
unmapped_player,,,,,,Melbourne,M Gawn
unmapped_player,,,,,,Melbourne,C Oliver
unmapped_player,,,,,,Melbourne,J Viney
unmapped_player,,,,,,Melbourne,J Melksham
unmapped_player,,,,,,Melbourne,B Howes
unmapped_player,,,,,,Melbourne,T Rivers
unmapped_player,,,,,,Melbourne,H Sharp
unmapped_player,,,,,,Melbourne,H Petty
unmapped_player,,,,,,Melbourne,B Laurie
unmapped_player,,,,,,Melbourne,T Campbell
unmapped_player,,,,,,Melbourne,A Johnson
unmapped_player,,,,,,Port Adelaide,O Lord
unmapped_player,,,,,,Port Adelaide,C Moraes
unmapped_player,,,,,,Port Adelaide,H Ramm
unmapped_player,,,,,,Port Adelaide,R Atkins
